,Hurricane ID,Hurricane Name,Hurricane Year,Hurricane Month,_name,state_name,Number of Fatalities,lat,lng,population
359,AL042004,DANIELLE,2004,8,NaN,,0.0,,,0
360,AL062004,FRANCES,2004,8,Alachua,Florida,3.0,29.7,-82.4,249832
361,AL062004,FRANCES,2004,8,Lee,Florida,1.0,26.6,-81.9,631077
362,AL062004,FRANCES,2004,8,Wyoming,New York,1.0,42.7,-78.2,41854
363,AL062004,FRANCES,2004,8,Belmont,Ohio,1.0,40.0,-81.0,70117
364,AL062004,FRANCES,2004,8,Tuscarawas,Ohio,1.0,40.4,-81.5,92482
365,AL072004,GASTON,2004,8,NaN,,,,,0
366,AL092004,IVAN,2004,9,Noxubee,Mississippi,1.0,33.1,-88.6,11291
367,AL092004,IVAN,2004,9,Belmont,Ohio,1.0,40.0,-81.0,70117
368,AL092004,IVAN,2004,9,Blair,Pennsylvania,1.0,40.5,-78.3,126989
369,AL092004,IVAN,2004,9,Mifflin,Pennsylvania,1.0,40.6,-77.6,46712
370,AL092004,IVAN,2004,9,Lincoln,West Virginia,1.0,38.2,-82.1,21575
371,AL092004,IVAN,2004,9,Clay,Florida,1.0,30.0,-81.9,192290
372,AL112004,JEANNE,2004,9,Lake,Florida,1.0,28.8,-81.7,300511
373,AL112004,JEANNE,2004,9,Brevard,Florida,1.0,28.3,-80.7,544439
374,AL112004,JEANNE,2004,9,Indian River,Florida,1.0,27.7,-80.6,139086
375,AL112004,JEANNE,2004,9,Philadelphia,Pennsylvania,1.0,40.0,-75.1,1539649
376,AL112004,JEANNE,2004,9,Fairfield,South Carolina,1.0,34.4,-81.1,23573
377,AL112004,JEANNE,2004,9,Georgetown,South Carolina,1.0,33.4,-79.3,60027
378,AL112004,JEANNE,2004,9,Patrick,Virginia,1.0,36.7,-80.3,18329
379,AL112004,JEANNE,2004,9,Yabucoa,Puerto Rico,1.0,,,0
380,AL112004,JEANNE,2004,9,Moca,Puerto Rico,3.0,,,0
381,AL122004,KARL,2004,9,NaN,,0.0,,,0
382,AL132004,LISA,2004,10,NaN,,0.0,,,0
383,AL032005,CINDY,2005,7,Fayette,Georgia,1.0,33.4,-84.5,107212
384,AL042005,DENNIS,2005,7,DeKalb,Georgia,1.0,33.8,-84.2,699684
385,AL042005,DENNIS,2005,7,Broward,Florida,1.0,26.2,-80.5,1787691
386,AL052005,EMILY,2005,7,NaN,,0.0,,,0
387,AL092005,IRENE,2005,8,Nassau,New York,1.0,40.7,-73.6,1347483
388,AL122005,KATRINA,2005,8,Broward,Florida,6.0,26.2,-80.5,1787691
389,AL122005,KATRINA,2005,8,Carroll,Georgia,1.0,33.6,-85.1,110758
390,AL122005,KATRINA,2005,8,Christian,Kentucky,1.0,36.9,-87.5,73467
391,AL122005,KATRINA,2005,8,Hinds,Mississippi,1.0,32.3,-90.5,248055
392,AL122005,KATRINA,2005,8,Warren,Mississippi,1.0,32.4,-90.9,48306
393,AL122005,KATRINA,2005,8,Jones,Mississippi,10.0,31.6,-89.2,67903
394,AL122005,KATRINA,2005,8,Simpson,Mississippi,1.0,31.9,-89.9,27392
395,AL122005,KATRINA,2005,8,Lauderdale,Mississippi,1.0,32.4,-88.7,80626
396,AL122005,KATRINA,2005,8,Leake,Mississippi,1.0,32.8,-89.5,23255
397,AL122005,KATRINA,2005,8,Orleans,Louisiana,682.0,30.1,-89.9,0
398,AL122005,KATRINA,2005,8,St. Bernard,Louisiana,157.0,29.9,-89.3,0
399,AL122005,KATRINA,2005,8,Jefferson,Louisiana,42.0,29.5,-90.0,0
400,AL142005,MARIA,2005,9,Ocean,New Jersey,1.0,39.9,-74.3,579162
401,AL152005,NATE,2005,9,NaN,,0.0,,,0
402,AL162005,OPHELIA,2005,9,NaN,,0.0,,,0
403,AL172005,PHILIPPE,2005,9,NaN,,0.0,,,0
404,AL182005,RITA,2005,9,Calcasieu,Louisiana,1.0,30.2,-93.4,0
405,AL182005,RITA,2005,9,Liberty,Texas,2.0,30.2,-94.8,75970
406,AL182005,RITA,2005,9,Angelina,Texas,1.0,31.3,-94.6,87282
407,AL182005,RITA,2005,9,Humphreys,Mississippi,1.0,33.1,-90.5,9316
408,AL182005,RITA,2005,9,Escambia,Florida,1.0,30.6,-87.3,299366
409,AL182005,RITA,2005,9,Walton,Florida,1.0,30.6,-86.2,55588
410,AL202005,STAN,2005,10,NaN,,0.0,,,0
411,AL242005,VINCE,2005,10,NaN,,0.0,,,0
412,AL252005,WILMA,2005,10,Collier,Florida,3.0,26.1,-81.4,327667
413,AL252005,WILMA,2005,10,Miami Dade,Florida,1.0,25.6,-80.5,0
414,AL252005,WILMA,2005,10,Broward,Florida,1.0,26.2,-80.5,1787691
415,AL272005,BETA,2005,10,NaN,,0.0,,,0
416,AL302005,EPSILON,2005,12,NaN,,0.0,,,0
417,AL062006,ERNESTO,2006,8,Montgomery,Pennsylvania,1.0,40.2,-75.4,805186
418,AL062006,ERNESTO,2006,8,Gloucester,Virginia,2.0,37.4,-76.5,36885
419,AL072006,FLORENCE,2006,9,NaN,,0.0,,,0
420,AL082006,GORDON,2006,9,NaN,,0.0,,,0
421,AL092006,HELENE,2006,9,NaN,,0.0,,,0
422,AL102006,ISAAC,2006,9,NaN,,0.0,,,0
423,AL042007,DEAN,2007,8,NaN,,0.0,,,0
424,AL062007,FELIX,2007,9,NaN,,0.0,,,0
425,AL092007,HUMBERTO,2007,9,NaN,,0.0,,,0
426,AL122007,KAREN,2007,9,NaN,,0.0,,,0
427,AL132007,LORENZO,2007,9,NaN,,,,,0
428,AL162007,NOEL,2007,11,NaN,,,,,0
429,AL022008,BERTHA,2008,7,Cape May,New Jersey,3.0,39.1,-74.8,96561
430,AL042008,DOLLY,2008,7,Lincoln,New Mexico,1.0,33.7,-105.4,20400
431,AL072008,GUSTAV,2008,8,Monroe,Florida,1.0,25.6,-81.2,73981
432,AL072008,GUSTAV,2008,8,Miami Dade,Florida,3.0,25.6,-80.5,0
433,AL082008,HANNA,2008,9,Fairfield,Connecticut,1.0,41.2,-73.4,929398
434,AL082008,HANNA,2008,9,New Haven,Connecticut,1.0,41.3,-72.9,864725
435,AL082008,HANNA,2008,9,Monmouth,New Jersey,1.0,40.3,-74.2,629757
436,AL082008,HANNA,2008,9,Georgetown,South Carolina,1.0,33.4,-79.3,60027
437,AL092008,IKE,2008,9,Clay,Arkansas,1.0,36.4,-90.4,15872
438,AL092008,IKE,2008,9,Lafayette,Louisiana,1.0,30.2,-92.1,0
439,AL092008,IKE,2008,9,St. Louis,Missouri,3.0,38.6,-90.4,999308
440,AL112008,KYLE,2008,9,Washington,Rhode Island,2.0,41.4,-71.6,126471
441,AL112008,KYLE,2008,9,Juana Díaz,Puerto Rico,6.0,,,0
442,AL152008,OMAR,2008,10,NaN,,,,,0
443,AL172008,PALOMA,2008,11,NaN,,,,,0
444,AL032009,BILL,2009,8,Brevard,Florida,2.0,28.3,-80.7,544439
445,AL032009,BILL,2009,8,Hancock,Maine,1.0,44.6,-68.4,54523
446,AL072009,FRED,2009,9,NaN,,,,,0
447,AL112009,IDA,2009,11,Queens,New York,1.0,40.7,-73.8,2262013
448,AL112009,IDA,2009,11,Dare,North Carolina,1.0,35.6,-75.8,34178
449,AL112009,IDA,2009,11,Rockingham,North Carolina,1.0,36.4,-79.8,93304
450,AL112009,IDA,2009,11,Catawba,North Carolina,1.0,35.7,-81.2,154561
451,AL112009,IDA,2009,11,Cape May,New Jersey,3.0,39.1,-74.8,96561
452,AL012010,ALEX,2010,6,NaN,,,,,0
453,AL062010,DANIELLE,2010,8,Cape May,New Jersey,1.0,39.1,-74.8,96561
454,AL072010,EARL,2010,8,Brevard,Florida,2.0,28.3,-80.7,544439
455,AL072010,EARL,2010,8,Palm Beach,Florida,1.0,26.6,-80.4,1337065
456,AL072010,EARL,2010,8,Cape May,New Jersey,2.0,39.1,-74.8,96561
457,AL112010,IGOR,2010,9,St. Croix,Virgin Islands,1.0,,,0
458,AL112010,IGOR,2010,9,Pender,North Carolina,1.0,34.5,-77.9,53195
459,AL112010,IGOR,2010,9,Luquillo,Puerto Rico,1.0,,,0
460,AL122010,JULIA,2010,9,NaN,,,,,0
461,AL132010,KARL,2010,9,NaN,,,,,0
462,AL142010,LISA,2010,9,NaN,,,,,0
463,AL172010,OTTO,2010,10,NaN,,,,,0
464,AL182010,PAULA,2010,10,NaN,,,,,0
465,AL192010,RICHARD,2010,10,NaN,,,,,0
466,AL202010,SHARY,2010,10,NaN,,,,,0
467,AL212010,TOMAS,2010,10,NaN,,,,,0
468,AL092011,IRENE,2011,8,NaN,,,,,0
469,AL092011,IRENE,2011,8,Hartford,Connecticut,1.0,41.8,-72.7,897778
470,AL092011,IRENE,2011,8,New Haven,Connecticut,1.0,41.3,-72.9,864725
471,AL092011,IRENE,2011,8,Sussex,Delaware,2.0,38.7,-75.3,200453
472,AL092011,IRENE,2011,8,Volusia,Florida,2.0,29.1,-81.2,494479
473,AL092011,IRENE,2011,8,Cecil,Maryland,1.0,39.6,-75.9,101585
474,AL092011,IRENE,2011,8,Belknap,New Hampshire,1.0,43.5,-71.4,60265
475,AL092011,IRENE,2011,8,Ocean,New Jersey,2.0,39.9,-74.3,579162
476,AL092011,IRENE,2011,8,Nassau,New York,7.0,40.7,-73.6,1347483
477,AL092011,IRENE,2011,8,Tyrrell,North Carolina,3.0,35.9,-76.2,4336
478,AL092011,IRENE,2011,8,Lancaster,Pennsylvania,1.0,40.0,-76.3,523786
479,AL092011,IRENE,2011,8,Brunswick,Virginia,3.0,36.8,-77.9,17131
480,AL092011,IRENE,2011,8,Queen Anne's,Maryland ,1.0,,,0
481,AL092011,IRENE,2011,8,Hampshire,Massachusetts,1.0,42.3,-72.7,160095
482,AL092011,IRENE,2011,8,Mercer,New Jersey,1.0,40.3,-74.7,368201
483,AL092011,IRENE,2011,8,Salem,New Jersey,1.0,39.6,-75.4,65883
484,AL092011,IRENE,2011,8,Essex,New Jersey,1.0,40.8,-74.2,787414
485,AL092011,IRENE,2011,8,Passaic,New Jersey,1.0,41.0,-74.3,504472
486,AL092011,IRENE,2011,8,Montgomery,New York,2.0,42.9,-74.4,49906
487,AL092011,IRENE,2011,8,Rockland,New York,1.0,41.2,-74.0,315904
488,AL092011,IRENE,2011,8,Albany,New York,1.0,42.6,-74.0,304836
489,AL092011,IRENE,2011,8,Nash,North Carolina,1.0,36.0,-78.0,95749
490,AL092011,IRENE,2011,8,Wayne,North Carolina,1.0,35.4,-78.0,124080
491,AL092011,IRENE,2011,8,Pitt,North Carolina,1.0,35.6,-77.4,170806
492,AL092011,IRENE,2011,8,Monroe,Pennsylvania,1.0,41.1,-75.3,169961
493,AL092011,IRENE,2011,8,Dauphin,Pennsylvania,1.0,40.4,-76.8,269106
494,AL092011,IRENE,2011,8,Luzerne,Pennsylvania,1.0,41.2,-76.0,320948
495,AL092011,IRENE,2011,8,Carbon,Pennsylvania,1.0,40.9,-75.7,65091
496,AL092011,IRENE,2011,8,Windham,Vermont,1.0,43.0,-72.7,44202
497,AL092011,IRENE,2011,8,Windsor,Vermont,1.0,43.6,-72.6,56564
498,AL092011,IRENE,2011,8,Rutland,Vermont,1.0,43.6,-73.0,61196
499,AL092011,IRENE,2011,8,Giles,Virginia,1.0,37.3,-80.7,17149
500,AL092011,IRENE,2011,8,Chesterfield,Virginia,1.0,37.4,-77.6,320422
501,AL092011,IRENE,2011,8,King William,Virginia,1.0,37.7,-77.1,16015
502,AL122011,KATIA,2011,9,Volusia,Florida,2.0,29.1,-81.2,494479
503,AL122011,KATIA,2011,9,Bradford,Pennsylvania,1.0,41.8,-76.5,63068
504,AL142011,MARIA,2011,9,NaN,,0.0,,,0
505,AL152011,NATE,2011,9,NaN,,0.0,,,0
506,AL162011,OPHELIA,2011,9,NaN,,,,,0
507,AL172011,PHILIPPE,2011,10,NaN,,,,,0
508,AL182011,RINA,2011,10,NaN,,0.0,,,0
509,AL032012,CHRIS,2012,6,NaN,,,,,0
510,AL052012,ERNESTO,2012,8,NaN,,0.0,,,0
511,AL082012,GORDON,2012,8,NaN,,,,,0
512,AL092012,ISAAC,2012,8,Escambia,Florida,3.0,30.6,-87.3,299366
513,AL092012,ISAAC,2012,8,Orleans,Louisiana,3.0,30.1,-89.9,0
514,AL092012,ISAAC,2012,8,Holmes,Mississippi,1.0,33.1,-90.1,19076
515,AL092012,ISAAC,2012,8,Harrison,Mississippi,1.0,30.4,-89.1,190928
516,AL092012,ISAAC,2012,8,Jefferson,Louisiana,1.0,29.5,-90.0,0
517,AL112012,KIRK,2012,8,NaN,,0.0,,,0
518,AL122012,LESLIE,2012,9,NaN,,0.0,,,0
519,AL132012,MICHAEL,2012,9,NaN,,,,,0
520,AL142012,NADINE,2012,9,Brevard,Florida,1.0,28.3,-80.7,544439
521,AL142012,NADINE,2012,9,Volusia,Florida,1.0,29.1,-81.2,494479
522,AL172012,RAFAEL,2012,10,NaN,,0.0,,,0
523,AL182012,SANDY,2012,10,Hartford,Connecticut,1.0,41.8,-72.7,897778
524,AL182012,SANDY,2012,10,Fairfield,Connecticut,1.0,41.2,-73.4,929398
525,AL182012,SANDY,2012,10,Grafton,New Hampshire,1.0,43.9,-71.8,89066
526,AL182012,SANDY,2012,10,Bergen,New Jersey,3.0,41.0,-74.1,914233
527,AL182012,SANDY,2012,10,Atlantic,New Jersey,2.0,39.5,-74.6,275107
528,AL182012,SANDY,2012,10,Cumberland,New Jersey,6.0,39.3,-75.1,157108
529,AL182012,SANDY,2012,10,Suffolk,New York,60.0,40.9,-72.7,1500074
530,AL182012,SANDY,2012,10,Ulster,New York,1.0,41.9,-74.3,182516
531,AL182012,SANDY,2012,10,Alleghany,New York,1.0,42.2,-78.0,0
532,AL182012,SANDY,2012,10,Berks,Pennsylvania,1.0,40.4,-75.9,412857
533,AL182012,SANDY,2012,10,Bradford,Pennsylvania,1.0,41.8,-76.5,63068
534,AL182012,SANDY,2012,10,Barbour,West Virginia,1.0,39.1,-80.0,16598
535,AL182012,SANDY,2012,10,Juana Díaz,Puerto Rico,1.0,,,0
536,AL092013,HUMBERTO,2013,9,NaN,,,,,0
537,AL102013,INGRID,2013,9,NaN,,0.0,,,0
538,AL012014,ARTHUR,2014,7,Carroll,Maryland,1.0,39.6,-77.0,167019
539,AL032014,BERTHA,2014,8,Dare,North Carolina,2.0,35.6,-75.8,34178
540,AL032014,BERTHA,2014,8,Atlantic,New Jersey,1.0,39.5,-74.6,275107
541,AL042014,CRISTOBAL,2014,8,Worcester,Maryland,2.0,38.2,-75.3,51505
542,AL042014,CRISTOBAL,2014,8,Monmouth,New Jersey,2.0,40.3,-74.2,629757
543,AL062014,EDOUARD,2014,9,Worcester,Maryland,3.0,38.2,-75.3,51505
544,AL072014,FAY,2014,10,NaN,,,,,0
545,AL082014,GONZALO,2014,10,NaN,,,,,0
546,AL042015,DANNY,2015,8,NaN,,,,,0
547,AL062015,FRED,2015,8,NaN,,,,,0
548,AL112015,JOAQUIN,2015,9,Cape May,New Jersey,1.0,39.1,-74.8,96561
549,AL112015,JOAQUIN,2015,9,Richland,South Carolina,2.0,34.0,-80.9,389481
550,AL112015,JOAQUIN,2015,9,Spartanburg,South Carolina,1.0,34.9,-82.0,286201
551,AL122015,KATE,2015,11,NaN,,,,,0
552,AL012016,ALEX,2016,1,NaN,,,,,0
553,AL052016,EARL,2016,8,NaN,,,,,0
554,AL072016,GASTON,2016,8,Nassau,New York,2.0,40.7,-73.6,1347483
555,AL092016,HERMINE,2016,9,NaN,,0.0,,,0
556,AL142016,MATTHEW,2016,9,Volusia,Florida,2.0,29.1,-81.2,494479
557,AL142016,MATTHEW,2016,9,Nassau,Florida,1.0,30.6,-81.8,74146
558,AL142016,MATTHEW,2016,9,Bulloch,Georgia,3.0,32.4,-81.7,72687
559,AL142016,MATTHEW,2016,9,Chatham,Georgia,1.0,32.0,-81.1,271870
560,AL142016,MATTHEW,2016,9,Alamance,North Carolina,1.0,36.0,-79.4,152857
561,AL142016,MATTHEW,2016,9,Harnett,North Carolina,1.0,35.4,-78.9,119214
562,AL142016,MATTHEW,2016,9,Johnston,North Carolina,4.0,35.5,-78.4,172534
563,AL142016,MATTHEW,2016,9,Wayne,North Carolina,2.0,35.4,-78.0,124080
564,AL142016,MATTHEW,2016,9,Wilson,North Carolina,2.0,35.7,-77.9,81192
565,AL142016,MATTHEW,2016,9,Cumberland,North Carolina,2.0,35.1,-78.8,330877
566,AL142016,MATTHEW,2016,9,Dare,North Carolina,2.0,35.6,-75.8,34178
567,AL142016,MATTHEW,2016,9,Pitt,North Carolina,1.0,35.6,-77.4,170806
568,AL142016,MATTHEW,2016,9,Onslow,North Carolina,2.0,34.8,-77.5,185013
569,AL142016,MATTHEW,2016,9,Lenoir,North Carolina,5.0,35.2,-77.6,59441
570,AL142016,MATTHEW,2016,9,Gates,North Carolina,1.0,36.4,-76.7,12043
571,AL142016,MATTHEW,2016,9,Columbus,North Carolina,3.0,34.3,-78.6,57693
572,AL142016,MATTHEW,2016,9,Bladen,North Carolina,2.0,34.6,-78.5,34920
573,AL142016,MATTHEW,2016,9,Horry,South Carolina,4.0,33.9,-79.0,275695
574,AL142016,MATTHEW,2016,9,Florence,South Carolina,2.0,34.0,-79.7,137570
575,AL142016,MATTHEW,2016,9,Isle of Wight,Virginia,1.0,36.9,-76.7,35289
576,AL152016,NICOLE,2016,10,Dare,North Carolina,2.0,35.6,-75.8,34178
577,AL162016,OTTO,2016,11,NaN,,,,,0
578,AL072017,FRANKLIN,2017,8,NaN,,0.0,,,0
579,AL082017,GERT,2017,8,Nantucket,Massachusetts,2.0,41.3,-70.1,10124
580,AL092017,HARVEY,2017,8,Galveston,Texas,10.0,29.2,-94.9,295609
581,AL092017,HARVEY,2017,8,Fort Bend,Texas,75.0,29.5,-95.8,606499
582,AL092017,HARVEY,2017,8,Orange,Texas,10.0,30.1,-93.9,82337
583,AL092017,HARVEY,2017,8,Jefferson,Texas ,5.0,,,0
584,AL092017,HARVEY,2017,8,Tyler,Texas,1.0,30.8,-94.4,21660
585,AL092017,HARVEY,2017,8,Newton,Texas,2.0,30.8,-93.7,14561
586,AL092017,HARVEY,2017,8,Jasper,Texas,2.0,30.8,-94.0,36192
587,AL092017,HARVEY,2017,8,Walker,Texas,1.0,30.7,-95.6,68408
588,AL092017,HARVEY,2017,8,San Jacinto,Texas,3.0,30.6,-95.2,26781
589,AL092017,HARVEY,2017,8,Montgomery,Texas,3.0,30.3,-95.5,471438
590,AL092017,HARVEY,2017,8,Manatee,Florida,1.0,27.5,-82.4,327543
591,AL092017,HARVEY,2017,8,Sarasota,Florida,1.0,27.2,-82.4,382263
592,AL112017,IRMA,2017,8,Monroe,Florida,2.0,25.6,-81.2,73981
593,AL112017,IRMA,2017,8,Monroe,Florida,2.0,25.6,-81.2,73981
594,AL112017,IRMA,2017,8,Hardee,Florida,1.0,27.5,-81.8,27657
595,AL112017,IRMA,2017,8,Polk,Florida,1.0,28.0,-81.7,609924
596,AL112017,IRMA,2017,8,Broward,Florida,1.0,26.2,-80.5,1787691
597,AL112017,IRMA,2017,8,Gordon,Georgia,2.0,34.5,-84.9,55497
598,AL122017,JOSE,2017,9,Suffolk,New York,2.0,40.9,-72.7,1500074
599,AL132017,KATIA,2017,9,NaN,,,,,0
600,AL142017,LEE,2017,9,NaN,,,,,0
601,AL152017,MARIA,2017,9,NaN,,,,,0
602,AL162017,NATE,2017,10,Baldwin,Alabama,2.0,30.7,-87.7,186534
603,AL172017,OPHELIA,2017,10,NaN,,,,,0
